year,state,district,grade,subject,level,percentage,n_students
2016,Himachal Pradesh,Himachal Pradesh,5,reading,story,65.3,
2016,Jharkhand,Jharkhand,5,math,division,20.0,
2016,Jharkhand,Jharkhand,5,reading,story,31.4,
2016,Karnataka,Karnataka,5,math,division,17.2,
2016,Karnataka,Karnataka,5,reading,story,41.9,
2016,Kerala,Kerala,5,math,division,27.1,
2016,Kerala,Kerala,5,reading,story,63.3,
2016,Madhya Pradesh,Madhya Pradesh,5,math,division,15.3,
2016,Madhya Pradesh,Madhya Pradesh,5,reading,story,31.4,
2016,Maharashtra,Maharashtra,5,math,division,19.7,
2016,Maharashtra,Maharashtra,5,reading,story,63.1,
2016,Odisha,Odisha,5,math,division,23.8,
2016,Odisha,Odisha,5,reading,story,48.8,
2016,Punjab,Punjab,5,math,division,42.4,
2016,Punjab,Punjab,5,reading,story,64.0,
2016,Rajasthan,Rajasthan,5,math,division,15.6,
2016,Rajasthan,Rajasthan,5,reading,story,42.5,
2016,Tamil Nadu,Tamil Nadu,5,math,division,21.4,
2016,Tamil Nadu,Tamil Nadu,5,reading,story,49.4,
2016,Uttar Pradesh,Uttar Pradesh,5,math,division,10.4,
2016,Uttar Pradesh,Uttar Pradesh,5,reading,story,24.3,
2016,Uttarakhand,Uttarakhand,5,math,division,25.5,
2016,Uttarakhand,Uttarakhand,5,reading,story,55.9,
2016,West Bengal,West Bengal,5,math,division,28.6,
2016,West Bengal,West Bengal,5,reading,story,50.2,
2018,Andhra Pradesh,Andhra Pradesh,3,math,subtraction,34.1,
2018,Andhra Pradesh,Andhra Pradesh,5,math,division,36.7,
2018,Andhra Pradesh,Andhra Pradesh,5,reading,story,57.1,
2018,Arunachal Pradesh,Arunachal Pradesh,3,math,subtraction,23.5,
2018,Arunachal Pradesh,Arunachal Pradesh,5,math,division,22.1,
2018,Arunachal Pradesh,Arunachal Pradesh,5,reading,story,22.1,
2018,Assam,Assam,3,math,subtraction,23.4,
2018,Assam,Assam,3,reading,story,14.4,
2018,Assam,Assam,5,math,division,14.4,
2018,Assam,Assam,5,reading,story,33.5,
2018,Bihar,Bihar,3,math,subtraction,18.0,
2018,Bihar,Bihar,3,reading,story,12.3,
2018,Bihar,Bihar,5,math,division,24.1,
2018,Bihar,Bihar,5,reading,story,35.1,
2018,Chhattisgarh,Chhattisgarh,3,math,subtraction,16.0,
2018,Chhattisgarh,Chhattisgarh,3,reading,story,25.0,
2018,Chhattisgarh,Chhattisgarh,5,math,division,26.1,
2018,Chhattisgarh,Chhattisgarh,5,reading,story,57.1,
2018,Gujarat,Gujarat,3,math,subtraction,22.8,
2018,Gujarat,Gujarat,3,reading,story,32.3,
2018,Gujarat,Gujarat,5,math,division,18.4,
2018,Gujarat,Gujarat,5,reading,story,52.0,
2018,Haryana,Haryana,3,math,subtraction,31.6,
2018,Haryana,Haryana,3,reading,story,33.5,
2018,Haryana,Haryana,5,math,division,34.4,
2018,Haryana,Haryana,5,reading,story,58.1,
2018,Himachal Pradesh,Himachal Pradesh,3,math,subtraction,42.4,
2018,Himachal Pradesh,Himachal Pradesh,3,reading,story,47.4,
2018,Himachal Pradesh,Himachal Pradesh,5,math,division,51.5,
2018,Himachal Pradesh,Himachal Pradesh,5,reading,story,74.5,
2018,Jammu and Kashmir,Jammu and Kashmir,3,math,subtraction,20.2,
2018,Jammu and Kashmir,Jammu and Kashmir,3,reading,story,5.4,
2018,Jammu and Kashmir,Jammu and Kashmir,5,math,division,13.6,
2018,Jammu and Kashmir,Jammu and Kashmir,5,reading,story,24.3,
2018,Jharkhand,Jharkhand,3,math,subtraction,14.8,
2018,Jharkhand,Jharkhand,3,reading,story,11.0,
2018,Jharkhand,Jharkhand,5,math,division,15.6,
2018,Jharkhand,Jharkhand,5,reading,story,29.4,
2018,Karnataka,Karnataka,3,math,subtraction,23.5,
2018,Karnataka,Karnataka,3,reading,story,19.4,
2018,Karnataka,Karnataka,5,math,division,19.6,
2018,Karnataka,Karnataka,5,reading,story,47.6,
2018,Kerala,Kerala,3,math,subtraction,44.3,
2018,Kerala,Kerala,3,reading,story,43.4,
2018,Kerala,Kerala,5,math,division,33.5,
2018,Kerala,Kerala,5,reading,story,73.1,
2018,Madhya Pradesh,Madhya Pradesh,3,math,subtraction,8.5,
2018,Madhya Pradesh,Madhya Pradesh,3,reading,story,10.4,
2018,Madhya Pradesh,Madhya Pradesh,5,math,division,16.5,
2018,Madhya Pradesh,Madhya Pradesh,5,reading,story,34.4,
2018,Maharashtra,Maharashtra,3,math,subtraction,28.1,
2018,Maharashtra,Maharashtra,3,reading,story,44.2,
2018,Maharashtra,Maharashtra,5,math,division,31.7,
2018,Maharashtra,Maharashtra,5,reading,story,66.0,
2018,Manipur,Manipur,3,math,subtraction,53.5,
2018,Manipur,Manipur,3,reading,story,24.5,
2018,Manipur,Manipur,5,math,division,38.4,
2018,Manipur,Manipur,5,reading,story,50.6,
2018,Meghalaya,Meghalaya,3,math,subtraction,14.2,
2018,Meghalaya,Meghalaya,3,reading,story,19.6,
2018,Meghalaya,Meghalaya,5,math,division,4.7,
2018,Meghalaya,Meghalaya,5,reading,story,38.9,
2018,Mizoram,Mizoram,3,math,subtraction,57.4,
